,Model_Name,Price,CC,Mileage,Weight
1817,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1818,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1819,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1820,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1821,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1822,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1823,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1824,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1825,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1826,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1827,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1828,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1829,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1830,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1831,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1832,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1833,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1834,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1835,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1836,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1837,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1838,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1839,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1840,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1841,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1842,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1843,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1844,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1845,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1846,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1847,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1848,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1849,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1850,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1851,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1852,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1853,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1854,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1855,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1856,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1857,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1858,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1859,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1860,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1861,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1862,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1863,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1864,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1865,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1866,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1867,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1868,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1869,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1870,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1871,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1872,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1873,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1874,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1875,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1876,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1877,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1878,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1879,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1880,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1881,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1882,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1883,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1884,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1885,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1886,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1887,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1888,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1889,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1890,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1891,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1892,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1893,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1894,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1895,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1896,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1897,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1898,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1899,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1900,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1901,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1902,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1903,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1904,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1905,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1906,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1907,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1908,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1909,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1910,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1911,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1912,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1913,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1914,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1915,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1916,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1917,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1918,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1919,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1920,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1921,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1922,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1923,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1924,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1925,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1926,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1927,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1928,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1929,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1930,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1931,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1932,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1933,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1934,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1935,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1936,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1937,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1938,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1939,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1940,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1941,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1942,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1943,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1944,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1945,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1946,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1947,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1948,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1949,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1950,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1951,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1952,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1953,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1954,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1955,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1956,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1957,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1958,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1959,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1960,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1961,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1962,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1963,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1964,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1965,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1966,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1967,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1968,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1969,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1970,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1971,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1972,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1973,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1974,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1975,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1976,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1977,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1978,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1979,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1980,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1981,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1982,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1983,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1984,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1985,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1986,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1987,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1988,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1989,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1990,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1991,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1992,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1993,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1994,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1995,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1996,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1997,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1998,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1999,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
2000,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
2001,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
2002,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
2003,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
2004,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
2005,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
2006,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
2007,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
2008,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
2009,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
2010,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
2011,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
2012,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
2013,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
2014,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
2015,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
2016,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
2017,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
2018,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
2019,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
2020,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
2021,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
2022,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
2023,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
2024,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
2025,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
2026,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
2027,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
2028,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
2029,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
2030,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
2031,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
2032,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
2033,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
2034,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
2035,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
2036,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
2037,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
2038,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
2039,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
2040,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
2041,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
2042,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
2043,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
2044,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
2045,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
2046,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
2047,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
2048,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
2049,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
2050,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
2051,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
2052,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
2053,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
2054,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
2055,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
2056,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
2057,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
2058,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
2059,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
2060,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
2061,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
2062,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
2063,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
2064,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
2065,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
2066,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
2067,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
2068,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
2069,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
2070,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
2071,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
2072,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
2073,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
2074,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
2075,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
2076,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
2077,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
2078,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
2079,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
2080,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
2081,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
2082,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
2083,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
2084,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
2085,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
2086,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
2087,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
2088,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
2089,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
2090,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
2091,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
2092,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
2093,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
2094,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
2095,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
2096,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
2097,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
2098,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
2099,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
2100,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
2101,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
2102,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
2103,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
2104,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
2105,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
2106,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
2107,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
2108,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
2109,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
2110,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
2111,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
2112,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
2113,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
2114,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
2115,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
2116,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
2117,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
2118,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
2119,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
2120,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
2121,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
2122,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
2123,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
2124,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
2125,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
2126,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
2127,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
2128,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
2129,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
2130,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
2131,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
2132,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
2133,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
2134,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
2135,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
2136,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
2137,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
2138,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
2139,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
2140,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
2141,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
2142,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
2143,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
2144,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
2145,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
2146,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
2147,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
2148,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
2149,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
2150,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
2151,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
2152,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
2153,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
2154,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
2155,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
2156,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
2157,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
2158,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
2159,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
2160,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
2161,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
2162,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
2163,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
2164,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
2165,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
2166,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
2167,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
2168,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
2169,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
2170,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
2171,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
2172,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
2173,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
2174,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
2175,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
2176,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
2177,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
2178,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
2179,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
2180,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
2181,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
2182,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
2183,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
2184,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
2185,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
2186,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
2187,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
2188,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
2189,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
2190,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
2191,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
